Year,Period,Label,Value
2021,M01,2021 Jan,149871
2021,M03,2021 Mar,150751
2021,M04,2021 Apr,151171
2021,M05,2021 May,151482
2021,M06,2021 Jun,151684
2021,M07,2021 Jul,152782
2021,M08,2021 Aug,153211
2021,M09,2021 Sep,153867
2021,M10,2021 Oct,154395
2021,M11,2021 Nov,155535
2021,M12,2021 Dec,156081
2021,M02,2021 Feb,150205
2022,M01,2022 Jan,157122
2022,M02,2022 Feb,157590
2022,M03,2022 Mar,158328
2022,M04,2022 Apr,157982
2022,M05,2022 May,158299
2022,M07,2022 Jul,158272
2022,M08,2022 Aug,158694
2022,M09,2022 Sep,158850
2022,M10,2022 Oct,158593
2022,M11,2022 Nov,158527
2022,M12,2022 Dec,159244
2022,M06,2022 Jun,158057
2023,M01,2023 Jan,160138
2023,M02,2023 Feb,160315
2023,M03,2023 Mar,160892
2023,M04,2023 Apr,161031
2023,M05,2023 May,160721
2023,M06,2023 Jun,160994
2023,M07,2023 Jul,161262
2023,M08,2023 Aug,161484
2023,M09,2023 Sep,161570
